,Chapter Name,Chapter Number,Verse Number,Arabic Text
24,البقرة,2,18,صم بكم عمي فهم لا يرجعون
25,البقرة,2,19,أو كصيب من السماء فيه ظلمات ورعد وبرق يجعلون أصابعهم في آذانهم من الصواعق حذر الموت ۚ والله محيط بالكافرين
26,البقرة,2,20,يكاد البرق يخطف أبصارهم ۖ كلما أضاء لهم مشوا فيه وإذا أظلم عليهم قاموا ۚ ولو شاء الله لذهب بسمعهم وأبصارهم ۚ إن الله على كل شيء قدير
27,البقرة,2,21,يا أيها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون
28,البقرة,2,22,الذي جعل لكم الأرض فراشا والسماء بناء وأنزل من السماء ماء فأخرج به من الثمرات رزقا لكم ۖ فلا تجعلوا لله أندادا وأنتم تعلمون
29,البقرة,2,23,وإن كنتم في ريب مما نزلنا على عبدنا فأتوا بسورة من مثله وادعوا شهداءكم من دون الله إن كنتم صادقين
30,البقرة,2,24,فإن لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجارة ۖ أعدت للكافرين
31,البقرة,2,25,وبشر الذين آمنوا وعملوا الصالحات أن لهم جنات تجري من تحتها الأنهار ۖ كلما رزقوا منها من ثمرة رزقا ۙ قالوا هذا الذي رزقنا من قبل ۖ وأتوا به متشابها ۖ ولهم فيها أزواج مطهرة ۖ وهم فيها خالدون
32,البقرة,2,26,۞ إن الله لا يستحيي أن يضرب مثلا ما بعوضة فما فوقها ۚ فأما الذين آمنوا فيعلمون أنه الحق من ربهم ۖ وأما الذين كفروا فيقولون ماذا أراد الله بهذا مثلا ۘ يضل به كثيرا ويهدي به كثيرا ۚ وما يضل به إلا الفاسقين
33,البقرة,2,27,الذين ينقضون عهد الله من بعد ميثاقه ويقطعون ما أمر الله به أن يوصل ويفسدون في الأرض ۚ أولئك هم الخاسرون
34,البقرة,2,28,كيف تكفرون بالله وكنتم أمواتا فأحياكم ۖ ثم يميتكم ثم يحييكم ثم إليه ترجعون
35,البقرة,2,29,هو الذي خلق لكم ما في الأرض جميعا ثم استوى إلى السماء فسواهن سبع سماوات ۚ وهو بكل شيء عليم
36,البقرة,2,30,وإذ قال ربك للملائكة إني جاعل في الأرض خليفة ۖ قالوا أتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك ۖ قال إني أعلم ما لا تعلمون
37,البقرة,2,31,وعلم آدم الأسماء كلها ثم عرضهم على الملائكة فقال أنبئوني بأسماء هؤلاء إن كنتم صادقين
38,البقرة,2,32,قالوا سبحانك لا علم لنا إلا ما علمتنا ۖ إنك أنت العليم الحكيم
39,البقرة,2,33,قال يا آدم أنبئهم بأسمائهم ۖ فلما أنبأهم بأسمائهم قال ألم أقل لكم إني أعلم غيب السماوات والأرض وأعلم ما تبدون وما كنتم تكتمون
40,البقرة,2,34,وإذ قلنا للملائكة اسجدوا لآدم فسجدوا إلا إبليس أبى واستكبر وكان من الكافرين
41,البقرة,2,35,وقلنا يا آدم اسكن أنت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هذه الشجرة فتكونا من الظالمين
42,البقرة,2,36,فأزلهما الشيطان عنها فأخرجهما مما كانا فيه ۖ وقلنا اهبطوا بعضكم لبعض عدو ۖ ولكم في الأرض مستقر ومتاع إلى حين
43,البقرة,2,37,فتلقى آدم من ربه كلمات فتاب عليه ۚ إنه هو التواب الرحيم
44,البقرة,2,38,قلنا اهبطوا منها جميعا ۖ فإما يأتينكم مني هدى فمن تبع هداي فلا خوف عليهم ولا هم يحزنون
45,البقرة,2,39,والذين كفروا وكذبوا بآياتنا أولئك أصحاب النار ۖ هم فيها خالدون
46,البقرة,2,40,يا بني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأوفوا بعهدي أوف بعهدكم وإياي فارهبون
47,البقرة,2,41,وآمنوا بما أنزلت مصدقا لما معكم ولا تكونوا أول كافر به ۖ ولا تشتروا بآياتي ثمنا قليلا وإياي فاتقون
48,البقرة,2,42,ولا تلبسوا الحق بالباطل وتكتموا الحق وأنتم تعلمون
49,البقرة,2,43,وأقيموا الصلاة وآتوا الزكاة واركعوا مع الراكعين
50,البقرة,2,44,۞ أتأمرون الناس بالبر وتنسون أنفسكم وأنتم تتلون الكتاب ۚ أفلا تعقلون
51,البقرة,2,45,واستعينوا بالصبر والصلاة ۚ وإنها لكبيرة إلا على الخاشعين
52,البقرة,2,46,الذين يظنون أنهم ملاقو ربهم وأنهم إليه راجعون
53,البقرة,2,47,يا بني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأني فضلتكم على العالمين
54,البقرة,2,48,واتقوا يوما لا تجزي نفس عن نفس شيئا ولا يقبل منها شفاعة ولا يؤخذ منها عدل ولا هم ينصرون
55,البقرة,2,49,وإذ نجيناكم من آل فرعون يسومونكم سوء العذاب يذبحون أبناءكم ويستحيون نساءكم ۚ وفي ذلكم بلاء من ربكم عظيم
56,البقرة,2,50,وإذ فرقنا بكم البحر فأنجيناكم وأغرقنا آل فرعون وأنتم تنظرون
57,البقرة,2,51,وإذ واعدنا موسى أربعين ليلة ثم اتخذتم العجل من بعده وأنتم ظالمون
58,البقرة,2,52,ثم عفونا عنكم من بعد ذلك لعلكم تشكرون
59,البقرة,2,53,وإذ آتينا موسى الكتاب والفرقان لعلكم تهتدون
60,البقرة,2,54,وإذ قال موسى لقومه يا قوم إنكم ظلمتم أنفسكم باتخاذكم العجل فتوبوا إلى بارئكم فاقتلوا أنفسكم ذلكم خير لكم عند بارئكم فتاب عليكم ۚ إنه هو التواب الرحيم
61,البقرة,2,55,وإذ قلتم يا موسى لن نؤمن لك حتى نرى الله جهرة فأخذتكم الصاعقة وأنتم تنظرون
62,البقرة,2,56,ثم بعثناكم من بعد موتكم لعلكم تشكرون
63,البقرة,2,57,وظللنا عليكم الغمام وأنزلنا عليكم المن والسلوى ۖ كلوا من طيبات ما رزقناكم ۖ وما ظلمونا ولكن كانوا أنفسهم يظلمون
64,البقرة,2,58,وإذ قلنا ادخلوا هذه القرية فكلوا منها حيث شئتم رغدا وادخلوا الباب سجدا وقولوا حطة نغفر لكم خطاياكم ۚ وسنزيد المحسنين
65,البقرة,2,59,فبدل الذين ظلموا قولا غير الذي قيل لهم فأنزلنا على الذين ظلموا رجزا من السماء بما كانوا يفسقون
66,البقرة,2,60,۞ وإذ استسقى موسى لقومه فقلنا اضرب بعصاك الحجر ۖ فانفجرت منه اثنتا عشرة عينا ۖ قد علم كل أناس مشربهم ۖ كلوا واشربوا من رزق الله ولا تعثوا في الأرض مفسدين
67,البقرة,2,61,وإذ قلتم يا موسى لن نصبر على طعام واحد فادع لنا ربك يخرج لنا مما تنبت الأرض من بقلها وقثائها وفومها وعدسها وبصلها ۖ قال أتستبدلون الذي هو أدنى بالذي هو خير ۚ اهبطوا مصرا فإن لكم ما سألتم ۗ وضربت عليهم الذلة والمسكنة وباءوا بغضب من الله ۗ ذلك بأنهم كانوا يكفرون بآيات الله ويقتلون النبيين بغير الحق ۗ ذلك بما عصوا وكانوا يعتدون
68,البقرة,2,62,إن الذين آمنوا والذين هادوا والنصارى والصابئين من آمن بالله واليوم الآخر وعمل صالحا فلهم أجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون
69,البقرة,2,63,وإذ أخذنا ميثاقكم ورفعنا فوقكم الطور خذوا ما آتيناكم بقوة واذكروا ما فيه لعلكم تتقون
70,البقرة,2,64,ثم توليتم من بعد ذلك ۖ فلولا فضل الله عليكم ورحمته لكنتم من الخاسرين
71,البقرة,2,65,ولقد علمتم الذين اعتدوا منكم في السبت فقلنا لهم كونوا قردة خاسئين
72,البقرة,2,66,فجعلناها نكالا لما بين يديها وما خلفها وموعظة للمتقين
73,البقرة,2,67,وإذ قال موسى لقومه إن الله يأمركم أن تذبحوا بقرة ۖ قالوا أتتخذنا هزوا ۖ قال أعوذ بالله أن أكون من الجاهلين
74,البقرة,2,68,قالوا ادع لنا ربك يبين لنا ما هي ۚ قال إنه يقول إنها بقرة لا فارض ولا بكر عوان بين ذلك ۖ فافعلوا ما تؤمرون
75,البقرة,2,69,قالوا ادع لنا ربك يبين لنا ما لونها ۚ قال إنه يقول إنها بقرة صفراء فاقع لونها تسر الناظرين
76,البقرة,2,70,قالوا ادع لنا ربك يبين لنا ما هي إن البقر تشابه علينا وإنا إن شاء الله لمهتدون
77,البقرة,2,71,قال إنه يقول إنها بقرة لا ذلول تثير الأرض ولا تسقي الحرث مسلمة لا شية فيها ۚ قالوا الآن جئت بالحق ۚ فذبحوها وما كادوا يفعلون
78,البقرة,2,72,وإذ قتلتم نفسا فادارأتم فيها ۖ والله مخرج ما كنتم تكتمون
79,البقرة,2,73,فقلنا اضربوه ببعضها ۚ كذلك يحيي الله الموتى ويريكم آياته لعلكم تعقلون
80,البقرة,2,74,ثم قست قلوبكم من بعد ذلك فهي كالحجارة أو أشد قسوة ۚ وإن من الحجارة لما يتفجر منه الأنهار ۚ وإن منها لما يشقق فيخرج منه الماء ۚ وإن منها لما يهبط من خشية الله ۗ وما الله بغافل عما تعملون
81,البقرة,2,75,۞ أفتطمعون أن يؤمنوا لكم وقد كان فريق منهم يسمعون كلام الله ثم يحرفونه من بعد ما عقلوه وهم يعلمون
82,البقرة,2,76,وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلا بعضهم إلى بعض قالوا أتحدثونهم بما فتح الله عليكم ليحاجوكم به عند ربكم ۚ أفلا تعقلون
83,البقرة,2,77,أولا يعلمون أن الله يعلم ما يسرون وما يعلنون
84,البقرة,2,78,ومنهم أميون لا يعلمون الكتاب إلا أماني وإن هم إلا يظنون
85,البقرة,2,79,فويل للذين يكتبون الكتاب بأيديهم ثم يقولون هذا من عند الله ليشتروا به ثمنا قليلا ۖ فويل لهم مما كتبت أيديهم وويل لهم مما يكسبون
86,البقرة,2,80,وقالوا لن تمسنا النار إلا أياما معدودة ۚ قل أتخذتم عند الله عهدا فلن يخلف الله عهده ۖ أم تقولون على الله ما لا تعلمون
87,البقرة,2,81,بلى من كسب سيئة وأحاطت به خطيئته فأولئك أصحاب النار ۖ هم فيها خالدون
88,البقرة,2,82,والذين آمنوا وعملوا الصالحات أولئك أصحاب الجنة ۖ هم فيها خالدون
89,البقرة,2,83,وإذ أخذنا ميثاق بني إسرائيل لا تعبدون إلا الله وبالوالدين إحسانا وذي القربى واليتامى والمساكين وقولوا للناس حسنا وأقيموا الصلاة وآتوا الزكاة ثم توليتم إلا قليلا منكم وأنتم معرضون
90,البقرة,2,84,وإذ أخذنا ميثاقكم لا تسفكون دماءكم ولا تخرجون أنفسكم من دياركم ثم أقررتم وأنتم تشهدون
91,البقرة,2,85,ثم أنتم هؤلاء تقتلون أنفسكم وتخرجون فريقا منكم من ديارهم تظاهرون عليهم بالإثم والعدوان وإن يأتوكم أسارى تفادوهم وهو محرم عليكم إخراجهم ۚ أفتؤمنون ببعض الكتاب وتكفرون ببعض ۚ فما جزاء من يفعل ذلك منكم إلا خزي في الحياة الدنيا ۖ ويوم القيامة يردون إلى أشد العذاب ۗ وما الله بغافل عما تعملون
92,البقرة,2,86,أولئك الذين اشتروا الحياة الدنيا بالآخرة ۖ فلا يخفف عنهم العذاب ولا هم ينصرون
93,البقرة,2,87,ولقد آتينا موسى الكتاب وقفينا من بعده بالرسل ۖ وآتينا عيسى ابن مريم البينات وأيدناه بروح القدس ۗ أفكلما جاءكم رسول بما لا تهوى أنفسكم استكبرتم ففريقا كذبتم وفريقا تقتلون
94,البقرة,2,88,وقالوا قلوبنا غلف ۚ بل لعنهم الله بكفرهم فقليلا ما يؤمنون
95,البقرة,2,89,ولما جاءهم كتاب من عند الله مصدق لما معهم وكانوا من قبل يستفتحون على الذين كفروا فلما جاءهم ما عرفوا كفروا به ۚ فلعنة الله على الكافرين
96,البقرة,2,90,بئسما اشتروا به أنفسهم أن يكفروا بما أنزل الله بغيا أن ينزل الله من فضله على من يشاء من عباده ۖ فباءوا بغضب على غضب ۚ وللكافرين عذاب مهين
97,البقرة,2,91,وإذا قيل لهم آمنوا بما أنزل الله قالوا نؤمن بما أنزل علينا ويكفرون بما وراءه وهو الحق مصدقا لما معهم ۗ قل فلم تقتلون أنبياء الله من قبل إن كنتم مؤمنين
98,البقرة,2,92,۞ ولقد جاءكم موسى بالبينات ثم اتخذتم العجل من بعده وأنتم ظالمون
99,البقرة,2,93,وإذ أخذنا ميثاقكم ورفعنا فوقكم الطور خذوا ما آتيناكم بقوة واسمعوا ۖ قالوا سمعنا وعصينا وأشربوا في قلوبهم العجل بكفرهم ۚ قل بئسما يأمركم به إيمانكم إن كنتم مؤمنين
100,البقرة,2,94,قل إن كانت لكم الدار الآخرة عند الله خالصة من دون الناس فتمنوا الموت إن كنتم صادقين
101,البقرة,2,95,ولن يتمنوه أبدا بما قدمت أيديهم ۗ والله عليم بالظالمين
102,البقرة,2,96,ولتجدنهم أحرص الناس على حياة ومن الذين أشركوا ۚ يود أحدهم لو يعمر ألف سنة وما هو بمزحزحه من العذاب أن يعمر ۗ والله بصير بما يعملون
103,البقرة,2,97,قل من كان عدوا لجبريل فإنه نزله على قلبك بإذن الله مصدقا لما بين يديه وهدى وبشرى للمؤمنين
104,البقرة,2,98,من كان عدوا لله وملائكته ورسله وجبريل وميكال فإن الله عدو للكافرين
105,البقرة,2,99,ولقد أنزلنا إليك آيات بينات ۖ وما يكفر بها إلا الفاسقون
106,البقرة,2,100,أوكلما عاهدوا عهدا نبذه فريق منهم ۚ بل أكثرهم لا يؤمنون
107,البقرة,2,101,ولما جاءهم رسول من عند الله مصدق لما معهم نبذ فريق من الذين أوتوا الكتاب كتاب الله وراء ظهورهم كأنهم لا يعلمون
108,البقرة,2,102,واتبعوا ما تتلو الشياطين على ملك سليمان ۖ وما كفر سليمان ولكن الشياطين كفروا يعلمون الناس السحر وما أنزل على الملكين ببابل هاروت وماروت ۚ وما يعلمان من أحد حتى يقولا إنما نحن فتنة فلا تكفر ۖ فيتعلمون منهما ما يفرقون به بين المرء وزوجه ۚ وما هم بضارين به من أحد إلا بإذن الله ۚ ويتعلمون ما يضرهم ولا ينفعهم ۚ ولقد علموا لمن اشتراه ما له في الآخرة من خلاق ۚ ولبئس ما شروا به أنفسهم ۚ لو كانوا يعلمون
109,البقرة,2,103,ولو أنهم آمنوا واتقوا لمثوبة من عند الله خير ۖ لو كانوا يعلمون
110,البقرة,2,104,يا أيها الذين آمنوا لا تقولوا راعنا وقولوا انظرنا واسمعوا ۗ وللكافرين عذاب أليم
111,البقرة,2,105,ما يود الذين كفروا من أهل الكتاب ولا المشركين أن ينزل عليكم من خير من ربكم ۗ والله يختص برحمته من يشاء ۚ والله ذو الفضل العظيم
112,البقرة,2,106,۞ ما ننسخ من آية أو ننسها نأت بخير منها أو مثلها ۗ ألم تعلم أن الله على كل شيء قدير
113,البقرة,2,107,ألم تعلم أن الله له ملك السماوات والأرض ۗ وما لكم من دون الله من ولي ولا نصير
114,البقرة,2,108,أم تريدون أن تسألوا رسولكم كما سئل موسى من قبل ۗ ومن يتبدل الكفر بالإيمان فقد ضل سواء السبيل
115,البقرة,2,109,ود كثير من أهل الكتاب لو يردونكم من بعد إيمانكم كفارا حسدا من عند أنفسهم من بعد ما تبين لهم الحق ۖ فاعفوا واصفحوا حتى يأتي الله بأمره ۗ إن الله على كل شيء قدير
116,البقرة,2,110,وأقيموا الصلاة وآتوا الزكاة ۚ وما تقدموا لأنفسكم من خير تجدوه عند الله ۗ إن الله بما تعملون بصير
117,البقرة,2,111,وقالوا لن يدخل الجنة إلا من كان هودا أو نصارى ۗ تلك أمانيهم ۗ قل هاتوا برهانكم إن كنتم صادقين
118,البقرة,2,112,بلى من أسلم وجهه لله وهو محسن فله أجره عند ربه ولا خوف عليهم ولا هم يحزنون
119,البقرة,2,113,وقالت اليهود ليست النصارى على شيء وقالت النصارى ليست اليهود على شيء وهم يتلون الكتاب ۗ كذلك قال الذين لا يعلمون مثل قولهم ۚ فالله يحكم بينهم يوم القيامة فيما كانوا فيه يختلفون
120,البقرة,2,114,ومن أظلم ممن منع مساجد الله أن يذكر فيها اسمه وسعى في خرابها ۚ أولئك ما كان لهم أن يدخلوها إلا خائفين ۚ لهم في الدنيا خزي ولهم في الآخرة عذاب عظيم
121,البقرة,2,115,ولله المشرق والمغرب ۚ فأينما تولوا فثم وجه الله ۚ إن الله واسع عليم
122,البقرة,2,116,وقالوا اتخذ الله ولدا ۗ سبحانه ۖ بل له ما في السماوات والأرض ۖ كل له قانتون
123,البقرة,2,117,بديع السماوات والأرض ۖ وإذا قضى أمرا فإنما يقول له كن فيكون
124,البقرة,2,118,وقال الذين لا يعلمون لولا يكلمنا الله أو تأتينا آية ۗ كذلك قال الذين من قبلهم مثل قولهم ۘ تشابهت قلوبهم ۗ قد بينا الآيات لقوم يوقنون
125,البقرة,2,119,إنا أرسلناك بالحق بشيرا ونذيرا ۖ ولا تسأل عن أصحاب الجحيم
126,البقرة,2,120,ولن ترضى عنك اليهود ولا النصارى حتى تتبع ملتهم ۗ قل إن هدى الله هو الهدى ۗ ولئن اتبعت أهواءهم بعد الذي جاءك من العلم ۙ ما لك من الله من ولي ولا نصير
127,البقرة,2,121,الذين آتيناهم الكتاب يتلونه حق تلاوته أولئك يؤمنون به ۗ ومن يكفر به فأولئك هم الخاسرون
128,البقرة,2,122,يا بني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأني فضلتكم على العالمين
129,البقرة,2,123,واتقوا يوما لا تجزي نفس عن نفس شيئا ولا يقبل منها عدل ولا تنفعها شفاعة ولا هم ينصرون
130,البقرة,2,124,۞ وإذ ابتلى إبراهيم ربه بكلمات فأتمهن ۖ قال إني جاعلك للناس إماما ۖ قال ومن ذريتي ۖ قال لا ينال عهدي الظالمين
131,البقرة,2,125,وإذ جعلنا البيت مثابة للناس وأمنا واتخذوا من مقام إبراهيم مصلى ۖ وعهدنا إلى إبراهيم وإسماعيل أن طهرا بيتي للطائفين والعاكفين والركع السجود
132,البقرة,2,126,وإذ قال إبراهيم رب اجعل هذا بلدا آمنا وارزق أهله من الثمرات من آمن منهم بالله واليوم الآخر ۖ قال ومن كفر فأمتعه قليلا ثم أضطره إلى عذاب النار ۖ وبئس المصير
133,البقرة,2,127,وإذ يرفع إبراهيم القواعد من البيت وإسماعيل ربنا تقبل منا ۖ إنك أنت السميع العليم
134,البقرة,2,128,ربنا واجعلنا مسلمين لك ومن ذريتنا أمة مسلمة لك وأرنا مناسكنا وتب علينا ۖ إنك أنت التواب الرحيم
135,البقرة,2,129,ربنا وابعث فيهم رسولا منهم يتلو عليهم آياتك ويعلمهم الكتاب والحكمة ويزكيهم ۚ إنك أنت العزيز الحكيم
136,البقرة,2,130,ومن يرغب عن ملة إبراهيم إلا من سفه نفسه ۚ ولقد اصطفيناه في الدنيا ۖ وإنه في الآخرة لمن الصالحين
137,البقرة,2,131,إذ قال له ربه أسلم ۖ قال أسلمت لرب العالمين
138,البقرة,2,132,ووصى بها إبراهيم بنيه ويعقوب يا بني إن الله اصطفى لكم الدين فلا تموتن إلا وأنتم مسلمون
139,البقرة,2,133,أم كنتم شهداء إذ حضر يعقوب الموت إذ قال لبنيه ما تعبدون من بعدي قالوا نعبد إلهك وإله آبائك إبراهيم وإسماعيل وإسحاق إلها واحدا ونحن له مسلمون
140,البقرة,2,134,تلك أمة قد خلت ۖ لها ما كسبت ولكم ما كسبتم ۖ ولا تسألون عما كانوا يعملون
141,البقرة,2,135,وقالوا كونوا هودا أو نصارى تهتدوا ۗ قل بل ملة إبراهيم حنيفا ۖ وما كان من المشركين
142,البقرة,2,136,قولوا آمنا بالله وما أنزل إلينا وما أنزل إلى إبراهيم وإسماعيل وإسحاق ويعقوب والأسباط وما أوتي موسى وعيسى وما أوتي النبيون من ربهم لا نفرق بين أحد منهم ونحن له مسلمون
143,البقرة,2,137,فإن آمنوا بمثل ما آمنتم به فقد اهتدوا ۖ وإن تولوا فإنما هم في شقاق ۖ فسيكفيكهم الله ۚ وهو السميع العليم
144,البقرة,2,138,صبغة الله ۖ ومن أحسن من الله صبغة ۖ ونحن له عابدون
145,البقرة,2,139,قل أتحاجوننا في الله وهو ربنا وربكم ولنا أعمالنا ولكم أعمالكم ونحن له مخلصون
146,البقرة,2,140,أم تقولون إن إبراهيم وإسماعيل وإسحاق ويعقوب والأسباط كانوا هودا أو نصارى ۗ قل أأنتم أعلم أم الله ۗ ومن أظلم ممن كتم شهادة عنده من الله ۗ وما الله بغافل عما تعملون
147,البقرة,2,141,تلك أمة قد خلت ۖ لها ما كسبت ولكم ما كسبتم ۖ ولا تسألون عما كانوا يعملون
148,البقرة,2,142,۞ سيقول السفهاء من الناس ما ولاهم عن قبلتهم التي كانوا عليها ۚ قل لله المشرق والمغرب ۚ يهدي من يشاء إلى صراط مستقيم
149,البقرة,2,143,وكذلك جعلناكم أمة وسطا لتكونوا شهداء على الناس ويكون الرسول عليكم شهيدا ۗ وما جعلنا القبلة التي كنت عليها إلا لنعلم من يتبع الرسول ممن ينقلب على عقبيه ۚ وإن كانت لكبيرة إلا على الذين هدى الله ۗ وما كان الله ليضيع إيمانكم ۚ إن الله بالناس لرءوف رحيم
150,البقرة,2,144,قد نرى تقلب وجهك في السماء ۖ فلنولينك قبلة ترضاها ۚ فول وجهك شطر المسجد الحرام ۚ وحيث ما كنتم فولوا وجوهكم شطره ۗ وإن الذين أوتوا الكتاب ليعلمون أنه الحق من ربهم ۗ وما الله بغافل عما يعملون
151,البقرة,2,145,ولئن أتيت الذين أوتوا الكتاب بكل آية ما تبعوا قبلتك ۚ وما أنت بتابع قبلتهم ۚ وما بعضهم بتابع قبلة بعض ۚ ولئن اتبعت أهواءهم من بعد ما جاءك من العلم ۙ إنك إذا لمن الظالمين
152,البقرة,2,146,الذين آتيناهم الكتاب يعرفونه كما يعرفون أبناءهم ۖ وإن فريقا منهم ليكتمون الحق وهم يعلمون
153,البقرة,2,147,الحق من ربك ۖ فلا تكونن من الممترين
154,البقرة,2,148,ولكل وجهة هو موليها ۖ فاستبقوا الخيرات ۚ أين ما تكونوا يأت بكم الله جميعا ۚ إن الله على كل شيء قدير
155,البقرة,2,149,ومن حيث خرجت فول وجهك شطر المسجد الحرام ۖ وإنه للحق من ربك ۗ وما الله بغافل عما تعملون
156,البقرة,2,150,ومن حيث خرجت فول وجهك شطر المسجد الحرام ۚ وحيث ما كنتم فولوا وجوهكم شطره لئلا يكون للناس عليكم حجة إلا الذين ظلموا منهم فلا تخشوهم واخشوني ولأتم نعمتي عليكم ولعلكم تهتدون
157,البقرة,2,151,كما أرسلنا فيكم رسولا منكم يتلو عليكم آياتنا ويزكيكم ويعلمكم الكتاب والحكمة ويعلمكم ما لم تكونوا تعلمون
158,البقرة,2,152,فاذكروني أذكركم واشكروا لي ولا تكفرون
159,البقرة,2,153,يا أيها الذين آمنوا استعينوا بالصبر والصلاة ۚ إن الله مع الصابرين
160,البقرة,2,154,ولا تقولوا لمن يقتل في سبيل الله أموات ۚ بل أحياء ولكن لا تشعرون
161,البقرة,2,155,ولنبلونكم بشيء من الخوف والجوع ونقص من الأموال والأنفس والثمرات ۗ وبشر الصابرين
162,البقرة,2,156,الذين إذا أصابتهم مصيبة قالوا إنا لله وإنا إليه راجعون
163,البقرة,2,157,أولئك عليهم صلوات من ربهم ورحمة ۖ وأولئك هم المهتدون
164,البقرة,2,158,۞ إن الصفا والمروة من شعائر الله ۖ فمن حج البيت أو اعتمر فلا جناح عليه أن يطوف بهما ۚ ومن تطوع خيرا فإن الله شاكر عليم
165,البقرة,2,159,إن الذين يكتمون ما أنزلنا من البينات والهدى من بعد ما بيناه للناس في الكتاب ۙ أولئك يلعنهم الله ويلعنهم اللاعنون
166,البقرة,2,160,إلا الذين تابوا وأصلحوا وبينوا فأولئك أتوب عليهم ۚ وأنا التواب الرحيم
167,البقرة,2,161,إن الذين كفروا وماتوا وهم كفار أولئك عليهم لعنة الله والملائكة والناس أجمعين
168,البقرة,2,162,خالدين فيها ۖ لا يخفف عنهم العذاب ولا هم ينظرون
169,البقرة,2,163,وإلهكم إله واحد ۖ لا إله إلا هو الرحمن الرحيم
170,البقرة,2,164,إن في خلق السماوات والأرض واختلاف الليل والنهار والفلك التي تجري في البحر بما ينفع الناس وما أنزل الله من السماء من ماء فأحيا به الأرض بعد موتها وبث فيها من كل دابة وتصريف الرياح والسحاب المسخر بين السماء والأرض لآيات لقوم يعقلون
171,البقرة,2,165,ومن الناس من يتخذ من دون الله أندادا يحبونهم كحب الله ۖ والذين آمنوا أشد حبا لله ۗ ولو يرى الذين ظلموا إذ يرون العذاب أن القوة لله جميعا وأن الله شديد العذاب
172,البقرة,2,166,إذ تبرأ الذين اتبعوا من الذين اتبعوا ورأوا العذاب وتقطعت بهم الأسباب
173,البقرة,2,167,وقال الذين اتبعوا لو أن لنا كرة فنتبرأ منهم كما تبرءوا منا ۗ كذلك يريهم الله أعمالهم حسرات عليهم ۖ وما هم بخارجين من النار
174,البقرة,2,168,يا أيها الناس كلوا مما في الأرض حلالا طيبا ولا تتبعوا خطوات الشيطان ۚ إنه لكم عدو مبين
175,البقرة,2,169,إنما يأمركم بالسوء والفحشاء وأن تقولوا على الله ما لا تعلمون
176,البقرة,2,170,وإذا قيل لهم اتبعوا ما أنزل الله قالوا بل نتبع ما ألفينا عليه آباءنا ۗ أولو كان آباؤهم لا يعقلون شيئا ولا يهتدون
